Year,Name,Height,Weight,Age,Team,DefaultPosition,OriginalPosition,PositionNumber,Experience,Potential,KnownPotential,Greed,Happiness,Loyalty,Winner,InsideScoring,JumpShot,ThreePointShot,Scoring,OutsideScoring,Handling,Passing,Quickness,PostDefense,PerimeterDefense,DriveDefense,Stealing,ShotBlocking,OffenseRebound,DefenseRebound,Strength,Stamina,Jumping,RatingInsideScoring,RatingOutsideScoring,RatingHandling,RatingDefense,RatingRebounding,DisplayHeight,CurrentRating,FutureRating,Minutes,Winshares,WS48
2012,Sekou Doumbouya,81,227,30,Oaks,SF,3,3,12,48,56,23,35,11,62,78,94,61,31,0,63,15,57,82,72,48,56,27,68,44,60,0,93,79,78,24,83,55,6'9'',64,64,2795,7.966782256,0.136817727
2008,Desean Murray,75,230,27,Jazz,C,1,1,8,46,37,10,38,16,5,14,86,50,88,0,59,30,72,46,42,52,79,51,77,88,99,0,63,46,68,41,69,85,6'3'',54,53,2110,5.98,0.136037915
2012,Trevon Duval,75,185,31,Bulls,PG,5,5,12,45,41,4,62,70,47,96,91,30,76,0,63,66,52,12,69,40,77,40,5,37,98,0,44,81,60,65,66,36,6'3'',59,59,1457,4.128511577,0.136011363
2011,Dave Lattin,78,220,23,Bulls,SF,3,3,2,63,77,47,66,56,51,100,86,23,9,0,79,21,79,32,70,33,67,45,35,45,77,0,42,78,54,35,74,48,6'6'',60,64,2522,7.143824461,0.135964938
2008,Sekou Doumbouya,81,227,26,Celtics,SF,3,3,8,47,48,23,35,11,62,77,98,51,31,0,55,19,53,78,78,50,60,25,66,58,64,0,100,81,74,27,84,61,6'9'',64,64,2793,7.898092808,0.135735215
2010,Jason Williams,74,195,30,Magic,PG,5,5,7,45,42,24,31,36,39,66,94,38,98,0,100,96,56,11,61,77,92,14,47,33,27,0,27,46,66,100,69,38,6'2'',68,68,3122,8.81,0.135451634
2009,LiAngelo Ball,78,230,30,Clippers,SG,4,4,9,45,47,12,31,35,9,84,86,72,33,0,87,39,84,16,51,10,91,12,60,53,53,0,27,61,79,53,54,57,6'6'',65,65,2791,7.86,0.135177356
2009,Larry Johnson*,79,275,23,Hawks,SF,3,3,1,68,61,81,6,4,66,69,90,43,46,0,69,30,47,44,27,52,79,32,73,70,89,0,64,72,66,36,65,73,6'7'',58,62,2476,6.97,0.135121163
2009,Jason Williams,74,195,29,Magic,PG,5,5,6,52,37,24,31,36,39,67,96,34,98,0,99,100,60,14,65,74,91,17,42,32,27,0,29,48,65,100,74,36,6'2'',69,68,3129,8.78,0.134688399
2008,Mitchell Robinson,83,245,27,Trailblazers,PF,2,2,6,51,58,79,12,64,1,84,75,5,34,0,75,18,59,70,57,32,15,89,78,39,72,0,72,78,40,28,84,59,6'11'',64,64,2732,7.65,0.134407028
2012,Drew Gooden,82,250,27,Trailblazers,PF,2,2,6,46,56,21,79,40,86,96,80,5,78,0,33,43,73,56,45,58,13,37,80,84,61,0,40,72,42,47,61,79,6'10'',62,62,2096,5.868543192,0.134394119
2009,Peyton Gragg,79,220,31,Raptors,PF,2,2,11,47,50,59,36,22,85,93,90,59,82,0,70,43,46,45,51,42,35,61,25,100,67,0,54,76,74,47,64,66,6'7'',57,57,2553,7.11,0.133678026
2008,Trevon Duval,75,185,27,Jazz,PG,5,5,8,48,56,4,62,70,47,85,95,21,76,0,71,68,58,9,68,42,75,34,10,36,85,0,44,73,58,71,66,35,6'3'',59,59,1433,3.986858049,0.133544443
2009,George Ackles,81,220,22,Raptors,PF,2,2,1,63,82,57,7,95,88,100,64,10,5,0,70,43,51,54,31,38,28,61,69,39,71,0,37,75,37,48,64,55,6'9'',55,61,2226,6.19,0.133477089
2012,Kareem Rush,78,220,27,Heat,SG,4,4,6,42,44,16,27,38,90,83,84,46,8,0,77,53,53,12,99,36,67,13,36,53,86,0,36,70,65,58,57,52,6'6'',59,59,1292,3.588364971,0.133313869
2012,Morris Peterson,79,220,31,Pistons,SF,3,3,8,45,30,38,91,19,52,100,93,32,58,0,78,39,41,40,38,53,70,32,62,83,54,0,38,72,62,42,62,69,6'7'',57,56,2735,7.566258438,0.13278991
2011,Devin Durrant,79,200,33,Timberwolves,SF,3,3,9,36,40,57,38,66,48,97,78,46,60,0,73,19,36,46,59,71,97,34,63,77,48,0,39,70,62,24,75,66,6'7'',56,55,1905,5.264193753,0.132641102
2008,Mustapha Heron,77,225,28,Celtics,SG,4,4,9,45,56,78,66,23,2,92,91,60,38,0,54,28,68,5,88,14,75,6,57,59,63,0,14,63,76,37,56,59,6'5'',62,62,2770,7.650402961,0.13257016
2012,Kostas Antetokounmpo,82,195,32,Mavericks,SF,3,3,12,41,28,71,0,66,22,80,78,6,20,0,77,30,51,43,80,73,27,85,41,63,46,0,57,66,42,37,75,52,6'10'',52,51,2319,6.391548434,0.132295957
2008,Khalid El-Amin,70,350,25,Kings,PG,5,5,4,54,53,31,98,35,68,92,84,28,19,0,95,57,63,69,38,54,35,10,50,50,61,0,5,60,56,65,51,52,5'10'',56,59,2334,6.396216367,0.131541725
2010,Isaac Bonga,81,210,30,Bucks,SF,3,3,11,51,37,86,15,69,34,95,93,82,86,0,79,95,41,43,69,50,85,49,66,64,54,0,27,66,88,92,77,62,6'9'',67,66,2539,6.95,0.131390311
2008,Ulaakees Galmuseeth,72,180,38,Knicks,PG,5,5,16,36,46,90,58,33,45,66,92,12,72,0,97,63,67,9,92,35,69,21,10,31,64,0,5,47,52,72,70,30,6'0'',59,50,2113,5.76379051,0.130933244
2009,Tito Maddox,76,190,24,Knicks,PG,5,5,3,57,48,53,27,4,16,45,91,42,17,0,82,62,65,23,91,17,100,8,15,43,66,0,43,49,66,69,71,38,6'4'',60,63,1903,5.19,0.130909091
2008,Desmond Mason,80,230,27,Bulls,SF,3,3,4,47,62,83,52,58,58,97,79,53,87,0,80,41,51,31,58,69,60,61,55,87,33,0,82,80,66,47,71,66,6'8'',63,64,2801,7.637759712,0.130886279
2009,Mohamed Bamba,83,240,29,Timberwolves,C,1,1,9,51,37,93,68,10,41,95,79,42,19,0,49,27,66,74,53,64,39,72,80,79,57,0,54,75,60,35,83,75,6'11'',64,63,2663,7.25,0.130679685
2010,George Ackles,81,225,23,Raptors,PF,2,2,2,56,77,57,7,95,88,100,64,10,5,0,67,38,50,53,34,38,25,57,73,42,71,0,39,76,37,42,62,58,6'9'',54,58,2101,5.71,0.130452166
2009,Morris Peterson,79,220,28,Pacers,SF,3,3,5,54,58,38,91,19,52,100,94,35,58,0,77,42,42,45,45,55,74,36,61,79,59,0,41,74,64,45,71,68,6'7'',59,59,2497,6.75,0.129755707
2010,DerMarr Johnson,81,205,26,Warriors,SG,4,4,6,48,68,85,49,27,80,70,100,100,56,0,69,35,59,11,83,54,85,48,52,31,41,0,65,63,100,43,74,41,6'9'',65,66,3085,8.33,0.12960778
2011,LiAngelo Ball,78,230,32,Clippers,SG,4,4,11,44,35,12,31,35,9,83,90,71,33,0,94,41,82,17,57,9,95,11,57,53,51,0,25,59,80,54,56,56,6'6'',65,64,3155,8.516657499,0.129571968
2011,Vlade Divac,85,265,21,Heat,C,1,1,0,66,67,73,15,28,85,100,71,15,16,0,46,37,24,86,37,48,53,54,62,56,82,0,29,75,43,35,76,60,7'1'',57,61,2368,6.350597565,0.128728329
2010,Stacey Augmon,80,205,24,Hornets,SF,3,3,2,75,60,78,45,4,93,5,82,51,72,0,96,40,83,64,63,74,86,89,49,51,5,0,95,32,66,55,92,45,6'8'',57,60,1667,4.47,0.128710258
2008,Malik Newman,75,178,29,Jazz,PG,5,5,4,50,42,16,75,85,22,68,96,78,5,0,88,67,52,47,95,20,100,18,43,41,33,0,5,42,87,71,75,41,6'3'',69,69,2334,6.228124049,0.128084813
2010,Zion Williamson,79,290,28,Heat,PF,2,2,10,48,30,66,84,25,86,96,85,29,66,0,20,34,70,66,27,25,33,80,83,79,76,0,75,86,57,37,73,79,6'7'',68,67,3008,8.02,0.127978723
2012,Manute Bol,91,215,25,Mavericks,C,1,1,5,47,46,49,89,64,40,14,61,96,78,0,34,46,73,47,67,94,8,92,45,73,26,0,48,27,78,49,65,56,7'7'',52,55,2263,6.009971026,0.127476186
2012,Desmond Mason,80,240,31,Bulls,SF,3,3,8,43,54,83,52,58,58,94,82,49,87,0,71,33,57,38,54,68,57,65,56,87,36,0,71,75,66,40,76,67,6'8'',63,63,2421,6.409456152,0.127077198
2011,Larry Hughes,78,185,27,SuperSonics,SG,4,4,8,44,56,3,15,89,53,78,76,56,16,0,100,79,76,24,75,65,62,51,51,34,75,0,15,59,66,89,80,48,6'6'',65,65,2802,7.390840514,0.126609688
2011,Markell Johnson,73,165,32,Clippers,PG,5,5,11,39,40,16,47,28,17,69,86,88,54,0,85,54,63,16,96,60,34,5,40,44,38,0,74,64,87,61,61,43,6'1'',64,63,1669,4.392330184,0.126322258
2011,Donta Hall,81,245,32,Pacers,C,1,1,11,37,32,44,81,33,72,97,71,5,48,0,64,39,50,86,40,57,17,89,58,58,30,0,46,68,38,43,76,53,6'9'',60,59,2460,6.471481705,0.126272814
2011,Jason Williams,74,195,31,Magic,PG,5,5,8,44,32,24,31,36,39,63,90,33,98,0,98,94,55,11,59,79,88,15,45,33,25,0,26,44,62,98,68,37,6'2'',66,65,3047,7.993108469,0.125917035
2011,Troy Brown,79,220,31,Bucks,SG,4,4,12,45,42,70,58,85,92,96,100,39,71,0,85,93,47,50,87,69,66,28,27,41,52,0,41,71,70,92,82,38,6'7'',66,66,2463,6.456820993,0.125833296
2008,Michael Jordan,78,195,27,Nuggets,SG,4,4,6,47,46,81,12,98,39,80,96,48,97,0,71,18,98,34,65,75,82,7,11,23,62,0,85,78,72,36,84,28,6'6'',65,65,2869,7.507707677,0.125608215
2009,Jake Tsakalidis,86,285,26,Spurs,C,1,1,5,54,64,22,55,43,56,100,73,5,37,0,51,21,81,75,56,38,30,63,82,66,61,0,53,78,39,33,73,72,7'2'',65,66,2293,6,0.125599651
2011,Dale Ellis,79,205,27,Lakers,SG,4,4,4,41,42,43,56,64,37,70,82,42,52,0,69,18,77,61,85,33,96,26,60,25,60,0,70,68,62,31,90,45,6'7'',61,61,1494,3.897832982,0.125231582
2011,Tacko Fall,90,300,35,Hornets,C,1,1,14,35,54,63,29,7,97,85,58,5,22,0,12,40,10,97,27,50,46,84,79,94,60,0,25,62,32,30,72,79,7'6'',60,57,1806,4.706997559,0.125102925
2008,Landyn Freshwater,71,180,27,Pistons,PG,5,5,5,42,32,6,25,14,91,65,89,57,25,0,93,69,54,8,89,54,51,13,10,30,39,0,51,56,73,74,62,26,5'11'',63,62,1193,3.109283132,0.125101082
2010,Mohamed Bamba,83,240,30,Timberwolves,C,1,1,10,44,38,93,68,10,41,92,79,40,19,0,46,29,66,74,57,66,41,74,79,82,54,0,51,72,60,37,83,76,6'11'',64,63,2376,6.190344661,0.125057468
2008,Len Bias,81,220,29,Lakers,SF,3,3,7,47,54,82,61,12,77,99,76,52,38,0,65,35,72,52,35,30,17,58,36,39,66,0,77,86,64,44,59,44,6'9'',60,60,2904,7.565819801,0.125054873
2012,Jason Williams,74,195,32,Magic,PG,5,5,9,38,37,24,31,36,39,64,91,31,98,0,97,94,56,11,55,78,83,12,42,31,24,0,24,44,61,98,65,35,6'2'',65,64,2761,7.192685776,0.125044881
2009,Tony Mitchell,81,240,25,Grizzlies,PF,2,2,4,64,60,93,35,29,97,100,94,5,83,0,47,25,70,100,23,5,20,74,86,95,51,0,21,67,50,34,61,84,6'9'',65,68,2842,7.39,0.124813512
2011,Tony Mitchell,81,240,27,Grizzlies,PF,2,2,6,54,52,93,35,29,97,100,89,5,83,0,47,25,72,100,29,8,15,74,86,100,47,0,21,66,47,35,62,86,6'9'',65,65,2606,6.77087297,0.124712933
2009,Kevin Knox,82,225,28,Warriors,SF,3,3,9,43,50,86,30,89,83,91,85,66,72,0,74,5,54,40,21,51,42,37,68,50,76,0,64,80,76,15,55,60,6'10'',59,59,2503,6.5,0.124650419
2008,Zan Tabak,84,245,21,Nuggets,C,1,1,0,72,57,72,87,54,3,77,74,5,84,0,66,33,57,55,28,40,71,52,52,73,76,0,53,70,40,39,66,65,7'0'',58,61,2262,5.87,0.124562334
2012,Steve Smith,79,200,26,Globetrotters,SG,4,4,4,47,55,99,28,85,25,71,100,62,89,0,53,62,59,27,74,31,47,7,30,58,66,0,79,72,81,63,53,49,6'7'',60,60,1886,4.89252493,0.124518132
2008,Troy Brown,79,220,28,Bucks,SG,4,4,9,50,46,70,58,85,92,96,100,42,71,0,88,95,50,50,90,66,64,29,22,32,55,0,41,71,71,96,82,33,6'7'',66,66,2664,6.898751744,0.124301833
2010,Wes Unseld,79,255,22,Kings,PF,2,2,1,47,36,27,8,12,93,79,71,5,80,0,65,71,33,88,12,45,23,12,87,84,89,0,33,67,38,67,48,83,6'7'',56,58,2125,5.494526119,0.124111649
2010,Dazon Ingram,77,225,31,Globetrotters,SG,4,4,8,44,54,5,2,38,70,72,100,41,69,0,59,40,72,47,100,40,61,36,55,56,92,0,66,74,70,49,83,62,6'5'',64,64,2689,6.95,0.124060989
2009,Jordan McLaughlin,73,170,33,Raptors,PG,5,5,11,47,42,80,62,24,71,50,88,65,85,0,88,100,62,67,54,29,70,37,43,30,44,0,43,47,76,100,67,38,6'1'',64,64,2891,7.44,0.123528191
2010,Darius Miles,82,215,25,Lakers,SF,3,3,6,58,63,75,73,20,62,91,82,47,20,0,72,47,69,53,61,55,43,63,74,64,41,0,89,80,64,55,80,64,6'10'',66,70,1566,4.03,0.123524904
2008,Rick Fox,80,240,21,Hawks,SF,3,3,0,80,66,37,26,20,73,73,89,42,74,0,76,27,44,60,43,43,94,40,40,32,68,0,73,72,66,33,76,41,6'8'',56,60,2437,6.258193509,0.123263557
2009,Stacey Augmon,80,205,23,Hornets,SF,3,3,1,84,68,78,45,4,93,6,77,53,72,0,100,38,85,66,62,76,88,88,45,47,5,0,100,34,65,53,91,42,6'8'',57,61,1400,3.59,0.123085714
2008,LiAngelo Ball,78,230,29,Clippers,SG,4,4,8,45,50,12,31,35,9,79,90,74,33,0,89,44,82,13,52,9,93,10,59,51,53,0,28,59,82,57,53,56,6'6'',64,64,2738,7.004659516,0.122798998
2012,Devon Huh,84,284,26,Mavericks,C,1,1,3,38,48,43,10,71,2,55,66,33,28,0,29,23,51,48,36,30,38,88,44,68,81,0,45,57,50,27,71,61,7'0'',53,53,2158,5.513560807,0.122637126
2009,Dillon Chambers,71,190,29,Nuggets,PG,5,5,7,39,26,53,99,75,70,62,95,52,93,0,89,55,59,18,99,45,61,10,12,23,47,0,49,55,74,62,68,25,5'11'',62,61,1230,3.13,0.122146341
2009,Mikal Bridges,79,190,31,Suns,SG,4,4,11,45,52,79,15,10,52,65,88,52,78,0,71,32,45,34,73,81,66,36,38,46,73,0,51,62,70,37,75,47,6'7'',56,56,1224,3.11,0.121960784
2010,Stromile Swift,81,230,26,SuperSonics,C,1,1,6,48,46,14,34,4,10,94,76,5,31,0,33,17,73,66,28,34,39,84,74,71,65,0,82,85,40,26,74,71,6'9'',59,59,2463,6.24,0.121607795
2008,Larry Johnson*,79,270,22,Hawks,SF,3,3,0,77,66,81,6,4,66,73,89,47,46,0,68,33,46,41,22,49,71,35,69,70,89,0,66,74,68,37,61,71,6'7'',58,62,2613,6.613101713,0.121480628
2011,Sekou Doumbouya,81,227,29,Celtics,SF,3,3,11,53,62,23,35,11,62,77,90,56,31,0,63,15,57,78,75,47,59,22,67,48,63,0,94,79,73,24,83,57,6'9'',63,64,3219,8.127781863,0.12119712
2010,Paul Pierce,79,240,28,Lakers,SF,3,3,7,42,50,91,94,84,98,96,77,13,36,0,49,31,65,38,99,62,73,34,50,49,74,0,71,84,45,38,85,54,6'7'',62,62,2524,6.37,0.121141046
2011,Zach Randolph,81,280,20,Bucks,PF,2,2,1,71,74,72,21,61,43,78,64,5,7,0,52,47,52,46,29,53,49,31,68,88,91,0,29,66,34,49,57,80,6'9'',59,63,2314,5.814428752,0.120610449
2008,Drew Gooden,82,250,23,Trailblazers,PF,2,2,2,59,60,21,79,40,86,100,83,5,78,0,32,47,70,65,52,53,15,40,74,81,65,0,39,75,44,49,68,76,6'10'',64,67,2768,6.94,0.120346821
2011,Darius Miles,82,215,26,Lakers,SF,3,3,7,51,70,75,73,20,62,90,82,49,20,0,70,51,72,49,57,51,45,66,76,67,42,0,87,79,66,59,77,67,6'10'',66,67,3145,7.878083325,0.120237838
2010,Trey Burke,73,185,26,Nuggets,PG,5,5,5,47,46,93,96,8,76,67,76,76,56,0,91,77,63,8,49,12,74,9,45,42,40,0,27,50,76,83,44,44,6'1'',60,60,1258,3.15,0.120190779
2008,Kenyon Martin,82,235,26,Spurs,PF,2,2,4,64,72,44,6,30,74,100,64,5,14,0,50,32,48,97,26,68,27,53,56,69,78,0,77,89,34,36,79,65,6'10'',64,65,2632,6.59,0.120182371
2011,Walt Frazier,76,205,24,Kings,SG,4,4,2,59,47,92,76,64,46,74,94,41,46,0,66,23,27,19,74,50,27,17,58,45,97,0,69,77,68,25,37,56,6'4'',55,58,1273,3.18663973,0.120156094
2010,Kevin Knox,82,225,29,Warriors,SF,3,3,10,46,34,86,30,89,83,92,85,65,72,0,74,6,52,40,18,48,42,32,71,48,79,0,63,81,75,16,51,61,6'10'',58,57,1415,3.54,0.120084806
2008,Jason Williams,74,195,28,Magic,PG,5,5,5,47,45,24,31,36,39,70,97,39,98,0,100,100,62,16,62,72,92,18,46,29,26,0,30,49,68,100,74,36,6'2'',69,69,2846,7.112623838,0.119959924
2009,De'Anthony Melton,76,190,28,Wizards,PG,5,5,6,49,46,17,44,10,69,69,87,49,60,0,80,83,84,30,98,85,99,19,28,48,51,0,66,64,68,90,100,43,6'4'',75,75,2049,5.12,0.119941435
2010,Troy Brown,79,220,30,Bucks,SG,4,4,11,45,42,70,58,85,92,95,100,42,71,0,86,91,49,45,88,67,64,27,26,37,54,0,41,71,71,92,80,36,6'7'',66,66,2658,6.62,0.119548533
2009,Thomas Wilder,75,185,34,Spurs,PG,5,5,11,45,29,24,49,67,32,69,95,67,86,0,81,78,36,42,70,82,52,29,34,26,70,0,67,69,81,76,72,36,6'3'',67,63,1756,4.37,0.119453303
2009,Sekou Doumbouya,81,227,27,Celtics,SF,3,3,9,46,55,23,35,11,62,79,96,51,31,0,58,19,54,77,74,46,56,27,68,53,63,0,97,81,74,27,82,60,6'9'',64,64,3097,7.65,0.118566355
2011,Rui Hachimura,80,245,32,Spurs,SF,3,3,12,38,43,45,12,50,92,96,81,68,56,0,70,30,43,43,56,39,55,47,5,96,81,0,36,75,74,35,66,59,6'8'',61,61,2642,6.525762492,0.118560409
2008,Jim Halpert,77,215,29,Timberwolves,SG,4,4,9,51,64,38,97,41,7,75,87,53,10,0,70,42,34,30,45,51,92,55,36,57,67,0,41,63,70,43,60,50,6'5'',56,57,1491,3.673227051,0.118252782
2009,Dave Lattin,78,210,21,Bulls,SF,3,3,0,77,78,47,66,56,51,100,83,5,9,0,76,24,75,34,62,29,62,43,41,42,66,0,39,75,44,36,69,47,6'6'',55,59,2162,5.32,0.118112858
2010,Desmond Mason,80,240,29,Bulls,SF,3,3,6,44,48,83,52,58,58,100,82,49,87,0,80,40,51,35,49,70,58,63,51,91,34,0,77,80,66,46,70,66,6'8'',63,63,2835,6.97,0.118010582
2009,Malcolm Moore,77,215,34,Bucks,SF,3,3,12,34,14,58,66,95,98,73,81,43,75,0,79,60,46,63,60,40,91,43,42,74,78,0,48,67,62,62,83,62,6'5'',58,52,1192,2.93,0.117986577
2011,DeSagana Diop,83,300,20,Mavericks,C,1,1,1,48,42,69,66,80,57,45,87,5,9,0,50,32,42,71,20,37,46,63,67,54,84,0,44,53,46,35,75,62,6'11'',54,57,2047,5.02936458,0.117933317
2009,Skylar Diggins,69,145,25,Lakers,PG,5,5,3,55,62,65,0,16,68,71,97,56,5,0,78,89,50,14,80,58,99,9,21,36,54,0,35,57,76,89,73,34,5'9'',68,72,3029,7.44,0.117900297
2010,Rui Hachimura,80,245,31,Spurs,SF,3,3,11,40,30,45,12,50,92,94,81,73,56,0,75,31,45,42,60,43,59,52,5,98,81,0,37,74,77,36,72,60,6'8'',62,61,3036,7.43,0.117470356
2008,Kenny Gattison,80,225,29,Warriors,PF,2,2,7,46,42,66,39,16,49,76,81,5,75,0,65,5,73,83,32,61,19,56,79,95,55,0,46,63,43,19,74,82,6'8'',61,61,2689,6.58,0.117456303
2012,Pau Gasol,85,235,23,Oaks,C,1,1,2,62,72,1,18,65,13,93,80,36,47,0,44,40,70,41,24,54,58,36,32,65,89,0,51,80,58,46,59,57,7'1'',60,64,2271,5.552549337,0.117359035
2011,Stojko Vrankovic,86,260,31,Warriors,C,1,1,9,37,30,72,14,95,29,87,95,52,22,0,46,52,30,91,38,63,29,5,74,51,76,0,69,79,74,48,61,62,7'2'',59,58,2535,6.186764461,0.117145836
2011,Mohamed Bamba,83,240,31,Timberwolves,C,1,1,11,38,40,93,68,10,41,88,78,40,19,0,47,30,66,69,57,65,43,71,74,83,52,0,52,70,59,38,79,74,6'11'',63,62,2704,6.598721012,0.117137059
2008,Shabazz Muhammad,78,230,24,Warriors,SF,3,3,3,50,54,92,88,22,48,93,82,36,7,0,58,23,25,31,37,53,42,54,64,29,85,0,78,87,59,25,50,49,6'6'',55,58,1966,4.77910864,0.116682205
2008,Elle Okobo,75,185,29,Warriors,PG,5,5,8,35,48,36,90,66,72,73,90,87,70,0,77,68,59,68,62,35,46,6,33,17,60,0,63,67,88,72,57,31,6'3'',63,63,2603,6.319330781,0.11653011
2010,Steve Stipanovich,85,245,26,Cavaliers,C,1,1,3,56,54,48,69,61,65,99,83,5,72,0,37,22,45,76,24,62,17,19,78,57,90,0,51,83,44,26,66,69,7'1'',62,62,2249,5.452775464,0.1163776
2008,Thurl Bailey,84,245,23,Raptors,PF,2,2,1,61,75,94,3,80,89,92,80,5,12,0,80,28,76,83,29,73,18,69,81,71,8,0,5,49,42,41,67,65,7'0'',67,71,2369,5.73,0.11609962
2012,Hedo Turkoglu,82,220,29,Pelicans,SF,3,3,8,52,58,91,79,9,66,80,84,59,5,0,51,55,66,36,47,58,31,6,78,50,69,0,64,73,72,59,57,63,6'10'',60,60,1511,3.646056926,0.115824442
2008,Dazon Ingram,77,225,29,Globetrotters,SG,4,4,6,47,57,5,2,38,70,72,93,46,69,0,61,35,72,41,100,44,57,38,57,53,99,0,64,75,70,43,80,62,6'5'',63,63,2783,6.701245514,0.115580232
2008,Mohamed Bamba,83,240,28,Timberwolves,C,1,1,8,50,50,93,68,10,41,91,76,43,19,0,52,32,66,69,57,68,39,74,82,74,59,0,55,74,60,40,83,74,6'11'',64,64,2781,6.68,0.115296656
2010,Dave Lattin,78,215,22,Bulls,SF,3,3,1,68,66,47,66,56,51,99,83,14,9,0,77,24,76,33,68,34,71,44,37,44,78,0,39,77,48,37,75,48,6'6'',58,62,2581,6.19,0.115118171
2009,Isaiah Canaan,73,185,26,Timberwolves,PG,5,5,4,49,50,48,90,30,44,73,85,88,80,0,72,75,58,27,75,15,76,39,10,50,51,0,24,54,86,77,68,37,6'1'',64,64,2579,6.18,0.115021326
2010,Sam Bowie,85,240,31,Grizzlies,C,1,1,8,45,55,57,9,26,39,90,87,5,58,0,59,47,27,39,13,34,23,38,63,66,91,0,80,87,46,46,41,67,7'1'',55,55,2466,5.905899831,0.114956688
2010,Michael Jordan,78,195,29,Nuggets,SG,4,4,8,44,35,81,12,98,39,81,95,62,97,0,71,13,98,29,60,84,91,5,14,22,63,0,83,78,78,32,82,29,6'6'',67,66,2995,7.15,0.114590985
2009,Frank Blazejowski,85,272,22,Mavericks,C,1,1,3,55,65,59,93,79,54,85,69,5,56,0,63,30,54,77,26,53,33,62,74,61,75,0,37,69,37,36,79,67,7'1'',62,66,2372,5.66,0.114536256
2008,Deng Adel,79,190,30,Spurs,SF,3,3,9,47,44,62,71,20,24,100,100,55,70,0,70,67,47,49,70,93,46,43,51,49,53,0,27,69,78,67,78,50,6'7'',62,62,2921,6.960324644,0.114377125
2008,Herb Jones,80,215,28,Jazz,SF,3,3,8,49,46,50,58,54,14,60,60,37,27,0,79,42,60,90,51,44,71,84,53,90,70,0,29,53,48,50,92,73,6'8'',57,57,2331,5.551222041,0.114310879
2009,Jim Halpert,77,215,30,Bucks,SG,4,4,10,46,53,38,97,41,7,71,91,53,10,0,74,41,35,30,45,46,97,51,39,60,63,0,39,60,72,43,58,52,6'5'',55,55,2406,5.72,0.114114713
2009,Darius Miles,82,215,24,Lakers,SF,3,3,5,64,79,75,73,20,62,91,79,46,20,0,69,45,66,50,64,58,45,58,78,64,39,0,90,80,62,52,79,65,6'10'',65,69,2091,4.97,0.114088953
2008,George Ackles,81,215,21,Raptors,PF,2,2,0,72,86,57,7,95,88,100,66,10,5,0,64,39,54,50,36,36,26,58,65,33,72,0,36,75,38,44,63,51,6'9'',54,60,2020,4.79,0.113821782
2010,Frank Blazejowski,85,272,23,Magic,C,1,1,4,51,55,59,93,79,54,82,69,5,56,0,64,29,55,81,25,55,36,63,77,58,72,0,37,67,37,36,81,67,7'1'',62,65,2810,6.635783062,0.113351454
2011,Trevon Duval,75,185,30,Hawks,PG,5,5,11,49,40,4,62,70,47,94,93,32,76,0,61,65,53,11,67,41,80,36,5,42,98,0,47,81,62,65,66,38,6'3'',59,58,1402,3.309227519,0.113297376
2008,Isaiah Canaan,73,185,25,Timberwolves,PG,5,5,3,45,54,48,90,30,44,70,84,85,80,0,77,69,57,24,77,10,68,36,15,50,53,0,25,53,84,72,63,39,6'1'',63,66,2512,5.927677853,0.11326773
2011,Trey Burke,73,185,27,Nuggets,PG,5,5,6,51,43,93,96,8,76,62,72,80,56,0,87,77,62,8,47,8,74,9,43,41,39,0,28,47,76,82,41,42,6'1'',59,59,1155,2.721833877,0.113115174
2011,Wes Unseld,79,255,23,Kings,PF,2,2,2,46,44,27,8,12,93,79,70,5,80,0,68,70,35,92,9,41,26,14,91,84,89,0,34,68,38,67,48,85,6'7'',56,59,2582,6.066122867,0.112770681
2010,Herb Jones,80,215,30,Jazz,SF,3,3,10,50,44,50,58,54,14,57,63,35,27,0,74,39,58,91,54,48,74,80,54,88,69,0,26,50,49,46,94,72,6'8'',56,56,2801,6.58,0.112759729
2011,Terrell Brandon,72,175,24,Pistons,PG,5,5,3,61,67,58,41,40,55,76,97,60,36,0,76,68,66,5,43,21,27,23,31,42,68,0,87,78,78,73,31,43,6'0'',57,61,2891,6.778119196,0.112538818
2009,Tyler Blevins,77,205,33,Grizzlies,SG,4,4,9,33,34,43,84,12,13,67,100,36,71,0,79,40,59,37,81,31,76,25,54,49,65,0,29,55,68,48,73,54,6'5'',56,55,1723,4.03,0.112269298
2011,Seventh Woods,74,180,30,Grizzlies,PG,5,5,7,44,48,0,65,79,89,51,95,38,5,0,100,100,33,54,48,36,84,39,5,36,98,0,67,65,66,99,61,34,6'2'',65,65,3036,7.096746038,0.112201518
2009,Paul Pierce,79,240,27,Lakers,SF,3,3,6,44,54,91,94,84,98,93,75,17,36,0,49,36,63,35,96,59,76,33,45,53,74,0,70,82,46,42,83,54,6'7'',61,61,2749,6.42,0.112098945
2009,Goga Bitadze,84,260,28,Lakers,C,1,1,9,43,48,42,68,19,75,77,73,5,50,0,56,23,60,74,18,79,46,58,67,81,46,0,77,71,39,32,74,70,7'0'',63,63,2661,6.21,0.112018038
2010,Devin Durrant,79,200,32,Timberwolves,SF,3,3,8,43,46,57,38,66,48,100,52,47,60,0,76,21,37,48,62,75,100,34,66,78,47,0,39,71,50,26,77,67,6'7'',54,54,1527,3.56,0.111905697
